[80, 192, 184, 40, 85, 85, 85, 106, 149, 100, 85, 205, 75, 185, 185, 185, 66, 56, 207, 66, 45, 85, 66, 80, 99, 105, 185, 56, 40, 85, 149, 85, 85, 121, 140, 126, 66, 85, 40, 207, 85, 137, 85, 116, 185, 37, 66, 56, 72, 185, 56, 54, 44, 116, 40, 49, 85, 185, 85, 66, 37, 66, 64, 80, 66, 23, 85, 70, 85, 139, 235, 185, 85, 112, 100, 184, 235, 85, 80, 85, 125, 72, 66, 85, 66, 66, 184, 180, 78, 129, 85, 142, 110, 78, 235, 137, 56, 207, 85, 85]
Average length: 105.47
LRUCache Hit Rate: 36.80%
DBLCache Hit Rate: 36.64%

  0%|          | 0/100 [00:00<?, ?it/s]
100%|██████████| 100/100 [00:00<00:00, 2979.01it/s]
Step 1 ARCCache T1: 80, T2: 0, B1: 0, B2: 0, p: 0
Step 2 ARCCache T1: 272, T2: 0, B1: 0, B2: 0, p: 0
Step 3 ARCCache T1: 456, T2: 0, B1: 0, B2: 0, p: 0
Step 4 ARCCache T1: 496, T2: 0, B1: 0, B2: 0, p: 0
Step 5 ARCCache T1: 581, T2: 0, B1: 0, B2: 0, p: 0
Step 6 ARCCache T1: 496, T2: 85, B1: 0, B2: 0, p: 0
Step 7 ARCCache T1: 496, T2: 85, B1: 0, B2: 0, p: 0
Step 8 ARCCache T1: 602, T2: 85, B1: 0, B2: 0, p: 0
Step 9 ARCCache T1: 751, T2: 85, B1: 0, B2: 0, p: 0
Step 10 ARCCache T1: 851, T2: 85, B1: 0, B2: 0, p: 0
Step 11 ARCCache T1: 851, T2: 85, B1: 0, B2: 0, p: 0
Step 12 ARCCache T1: 948, T2: 85, B1: 85, B2: 0, p: 0
Step 13 ARCCache T1: 948, T2: 85, B1: 85, B2: 0, p: 0
Step 14 ARCCache T1: 948, T2: 85, B1: 85, B2: 0, p: 0   85  185 66  56
Step 15 ARCCache T1: 763, T2: 270, B1: 85, B2: 0, p: 0
Step 16 ARCCache T1: 763, T2: 270, B1: 85, B2: 0, p: 0
Step 17 ARCCache T1: 763, T2: 270, B1: 151, B2: 0, p: 0
Step 18 ARCCache T1: 763, T2: 270, B1: 207, B2: 0, p: 0
Step 19 ARCCache T1: 763, T2: 270, B1: 270, B2: 0, p: 0
Step 20 ARCCache T1: 697, T2: 336, B1: 270, B2: 0, p: 0
Step 21 ARCCache T1: 697, T2: 336, B1: 315, B2: 0, p: 0
Step 22 ARCCache T1: 697, T2: 336, B1: 315, B2: 0, p: 0
