Cache_Size,LRU_hitrate,DBL_hitrate,LRU_time,DBL_time,ARC_hitrate,ARC_time
10,0.17119646454799506,0.2463118216676415,0.02203,0.02169,0.27499837525183596,0.02194
15,0.21919802430623253,0.2867355559888217,0.02191,0.02173,0.3196204588288815,0.02167
20,0.25412361084031976,0.3177357509586014,0.02169,0.02135,0.35702866055761356,0.02156
25,0.27746799246116854,0.3417820237863131,0.02179,0.0213,0.38457139143432767,0.02144
30,0.2975888737245727,0.3636186391109378,0.02168,0.02157,0.40768180931955544,0.02146
35,0.3161240007798791,0.3818548125040619,0.02176,0.02158,0.42318840579710143,0.02148
40,0.3311236758302463,0.39873919542470915,0.02145,0.02156,0.43785013322934946,0.02147
45,0.3470072138818483,0.4153246246831741,0.02166,0.02134,0.45040618704100865,0.02145
50,0.3613569896666017,0.4266848638461039,0.02164,0.02144,0.45979073243647234,0.02145
55,0.3751218561123026,0.4368232923896796,0.02179,0.02138,0.4703191005394164,0.02126
60,0.3883018132189511,0.44840449730291804,0.02149,0.0216,0.48144537596672515,0.02144
65,0.4004549294859297,0.4589458633911744,0.02131,0.02137,0.48990706440501725,0.02152
70,0.4109832975888737,0.4685903684928836,0.02153,0.0211,0.49929160980048093,0.02123
75,0.4200818873074673,0.4752063430168324,0.02164,0.021,0.5080652498862677,0.02132
80,0.4284525898485735,0.48395398713199456,0.02148,0.02106,0.5158250471176967,0.02151
85,0.438487034509651,0.49229869370247614,0.02137,0.02141,0.5231819068044453,0.02136
90,0.4464418015207643,0.49800480925456553,0.0214,0.02128,0.5299928511080783,0.02132
95,0.4536686813543901,0.5033209852472866,0.02152,0.0214,0.5366868135439007,0.02145
100,0.4615194644830051,0.5089491128875024,0.02153,0.02139,0.5440696692012738,0.02132


